tick,perception_0,perception_1,perception_2,perception_3,perception_4,perception_5,perception_6,perception_7,perception_8,perception_9,perception_10,perception_11,perception_12,perception_13,perception_14,perception_15,perception_16,perception_17,perception_18,perception_19,perception_20,perception_21,perception_22,perception_23,perception_24,perception_25,perception_26,perception_27,perception_28,perception_29,channel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,objects
1,-40.048591191950514,-11.441318119429846,-1.4842983557925373,-0.25359896197194776,-0.2007818769308958,-0.20000391074258245,-0.20000000664418016,-0.20000000000381388,-0.20000000000000076,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.200000000000005,-0.2000000000205514,-0.20000002849778847,-0.20001336558325597,-0.2021325881615673,-0.31700456769515006,-2.457484311815504,-16.32687075842036,-48.28680684769897,-77.93411836840431,-100.04267998079607,-110.00756041201012,-94.34009865766585,-71.73987118181914,objects
2,-66.34089770363006,-34.016474412337864,-8.538840628884143,-1.0131982708752125,-0.22865832835340322,-0.20035134819456507,-0.20000147367801496,-0.20000000209706986,-0.2000000000010075,-0.20000000000000018,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000003312,-0.20000000010796257,-0.20000011872995863,-0.20004420706652068,-0.205608446592172,-0.445391777655764,-4.000262752400544,-22.31636842368607,-55.866763420520556,-82.45468286665552,-103.34216894127732,-107.1861651157452,-88.92734863942384,objects
3,-84.06526366206866,-61.2088947985848,-28.741823771071573,-6.374226024621944,-0.7174328270359389,-0.2155280732126922,-0.20016146686169978,-0.20000057334194915,-0.2000000006900011,-0.20000000000028018,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.20000000000020138,-0.20000000052278963,-0.2000004580761406,-0.20013602667050218,-0.21378616146595442,-0.683442905073095,-6.243769302097514,-29.075103639003604,-62.441151677186475,-86.24114466251655,-105.45519372934136,-103.20616430465314,objects
4,-98.73308061202427,-79.77430570711853,-56.38985188549514,-24.234466610445576,-4.780948312852446,-0.5322927384228817,-0.20856500644390363,-0.20007623999577262,-0.20000023137318507,-0.20000000023778175,-0.20000000000008242,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000002,-0.20000000000111845,-0.20000000232460172,-0.2000016317709433,-0.2003885790684856,-0.23163673607418367,-1.0944160937621437,-9.287186694159502,-36.172677259397275,-67.7600616189468,-89.42164438585891,-106.26162846971896,objects
5,-105.90958411330405,-94.2886929773235,-76.00889670806451,-51.940461364053824,-20.444226082667416,-3.6154083629469063,-0.41596245136596155,-0.20482098554258307,-0.20003706088983803,-0.20000009700281907,-0.20000000008591692,-0.20000000000002566,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000115,-0.20000000000563056,-0.20000000943285023,-0.20000534064642944,-0.20102682812040143,-0.26762489972403103,-1.7525995502420322,-13.1261826323132,-43.08526203761022,-71.78074987456056,-92.0416943456514,objects
6,-94.1069020840576,-104.72659033346031,-90.18608899587083,-72.71186483234692,-47.89187942062155,-17.286666375106414,-2.763166419370933,-0.3422247552813875,-0.20277089351362176,-0.20001854582163225,-0.20000004221407494,-0.20000000003249635,-0.20000000000000845,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000634,-0.20000000002556423,-0.20000003479359532,-0.20001601436579006,-0.2025057208469491,-0.33456646608571555,-2.7303581095242864,-17.632416714533637,-49.33336969812443,-74.63183268443076,objects
7,-76.53378974194425,-95.63637174706683,-103.0924134466291,-86.58494556756077,-69.83623471109198,-44.229689185663496,-14.656342797482388,-2.135565214919752,-0.2947779409808269,-0.2016219556951468,-0.20000951611477424,-0.2000000189681789,-0.20000000001278012,-0.20000000000000293,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000003154,-0.2000000001043126,-0.20000011636855644,-0.20004393028987946,-0.20564399149680923,-0.44942658255402845,-4.078621930629184,-22.562915872723327,-54.5848198415908,objects
8,-58.70657243352381,-77.71000764814067,-96.64025123516303,-101.33312787054784,-83.56232365290847,-67.34415245546114,-40.92438553859651,-12.462462377690349,-1.670223445797313,-0.263833703934083,-0.200964772670682,-0.20000499017045245,-0.20000000876111737,-0.20000000000519694,-0.20000000000000104,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.20000000000013973,-0.20000000038233753,-0.2000003529653787,-0.2001103414051746,-0.21175294707750222,-0.6316514496205194,-5.809682215661861,-27.61171941084132,objects
9,-32.475695437104925,-61.76946527005417,-78.39869065708467,-97.15758059478559,-99.67860419293017,-81.16790941209825,-65.18403610027099,-37.881793357429686,-10.59871752835225,-1.318163094899809,-0.24316120708919328,-0.2005779451670843,-0.20000264433048492,-0.2000000041033897,-0.20000000000215043,-0.2000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000001,-0.20000000000055088,-0.20000000125955758,-0.20000097211143558,-0.20025423631326988,-0.22268301516698802,-0.8996689186158513,-7.886216763745737,objects
10,-10.225316126607431,-36.91250909707361,-63.97667258384045,-78.7921102667891,-97.16288380403343,-98.23385415027752,-79.45131194622043,-63.310254457215336,-35.03352101702829,-8.99815706946538,-1.0489689984858115,-0.22917549628516062,-0.2003467389249305,-0.20000140610287973,-0.20000000193242773,-0.20000000000089652,-0.20000000000000015,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000034,-0.20000000000193716,-0.20000000374050494,-0.20000243900586448,-0.20053930641812978,-0.24073567311916627,-1.26686024459262,objects
11,-1.7399556563514738,-12.725415868567978,-40.79943241866612,-65.62388340759914,-79.13097857242342,-96.69773809238542,-96.94883691810843,-78.41635757499152,-61.63786545654793,-32.25193855484441,-7.583303393936213,-0.8382302665289834,-0.21950538970536818,-0.20020555873497708,-0.20000073822753273,-0.20000000089787226,-0.2000000000003685,-0.20000000000000007,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000126,-0.20000000000612028,-0.20000001008348603,-0.2000056126300377,-0.20106022572688073,-0.26851151189070105,objects
12,-0.3085845493098254,-2.316923831300363,-15.277086613922975,-44.09821983014206,-66.97888682748355,-79.6094452308644,-95.83076378174727,-95.68679434938156,-78.01968590071495,-60.08825495908291,-29.46419711014995,-6.3172548796531975,-0.6722560452027595,-0.21280222811287536,-0.20011933986969604,-0.20000037863672585,-0.20000000040658023,-0.20000000000014728,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000417,-0.20000000001749713,-0.20000002484630516,-0.20001192541993057,-0.20194411060621548,objects
13,-0.20335641671927132,-0.36355836677577047,-2.992613931123723,-17.803967416482205,-46.8752476884574,-68.27040875530614,-80.39796390224843,-94.77789345165387,-94.30321765345049,-78.0776177439467,-58.515554416784916,-26.584905243617897,-5.167936820997772,-0.5407490946591271,-0.20815553900138842,-0.20006693733325961,-0.20000018675833184,-0.20000000017623787,-0.20000000000005608,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000125,-0.20000000004581733,-0.20000005659295503,-0.2000236379061168,objects
14,-0.2000442150869235,-0.2055118149696596,-0.43624295716638,-3.7627696769266894,-20.269061819429556,-49.25239671353618,-69.65518282078685,-81.56589402624617,-93.79053214208358,-92.79509860909502,-78.30958136380202,-56.70513588285381,-23.567851029497724,-4.125405621502477,-0.43750732760768307,-0.20498676161182697,-0.2000358097874894,-0.20000008730178737,-0.20000000007193908,-0.20000000000002,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000347,-0.20000000011144997,-0.20000012069123188,objects
15,-0.20000024376710404,-0.20007884789104022,-0.20868686252668234,-0.5297459266176048,-4.6248644244415935,-22.663663200635423,-51.36528494746215,-71.23010889409275,-83.08974351359251,-93.0398591238237,-91.31905943925194,-78.43836564099662,-54.39723664083393,-20.41799063146146,-3.197048481724861,-0.3585830384624443,-0.2028984118314573,-0.200018073507562,-0.20000003821242482,-0.20000000002728896,-0.2000000000000066,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000008994,-0.20000000025504913,objects
16,-0.2000000005597335,-0.20000047423984035,-0.20013602659145777,-0.213303124437084,-0.6493020866832799,-5.593200788190504,-25.041359892874272,-53.391860404666254,-73.06590041898097,-84.90126458375059,-92.61259317800399,-90.08366950398054,-78.1867271320997,-51.28892480767514,-17.16115172080576,-2.391870100102492,-0.30037693958334444,-0.2015820393695995,-0.20000848944350547,-0.20000001542775306,-0.20000000000946344,-0.20000000000000195,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.20000000000022264,objects
17,-0.20000000000053683,-0.200000001199023,-0.20000090246495617,-0.20023002712874444,-0.22001251909373473,-0.8028565248828923,-6.694074711228796,-27.475346168892013,-55.49238750009066,-75.201459574584,-86.90444103719544,-92.49520078275401,-89.22955266572457,-77.30878548486781,-47.182796800966244,-13.892100608064021,-1.723468807365529,-0.2597066934129026,-0.20080310871942902,-0.20000367197304988,-0.20000000568001894,-0.20000000000296383,-0.20000000000000054,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000001,objects
18,-0.20000000000000023,-0.20000000000128101,-0.20000000254226577,-0.20000170013338323,-0.2003851569146848,-0.22981783280610316,-1.0016480135375547,-7.961921623654466,-30.03864470350641,-57.79568677522863,-77.64956837055104,-89.00567182152571,-92.64840163145801,-88.76056857551504,-75.53186547056859,-42.064511197297094,-10.761442366807582,-1.1995665930998765,-0.23314683581269152,-0.20037644992646816,-0.20000145152341472,-0.2000000018920422,-0.2000000000008315,-0.20000000000000012,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,objects
19,-0.2,-0.2000000000000006,-0.20000000000307858,-0.20000000541675894,-0.2000032116942889,-0.20064536366193592,-0.24437480606841264,-1.263161701873993,-9.44986230065799,-32.823587781620034,-60.42045530227212,-80.3986438094517,-91.12258582538755,-93.05291435633283,-88.51517495352941,-72.52353072318971,-36.10408802581035,-7.931861089477068,-0.8151100988058753,-0.21706721503116333,-0.20016191026145577,-0.2000005210303469,-0.20000000056650438,-0.2000000000002076,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,objects
20,-0.2,-0.2,-0.20000000000000165,-0.2000000000075814,-0.2000000117712533,-0.20000615971800365,-0.2010930092683949,-0.2664711257138908,-1.6140666409831452,-11.230619196403378,-35.93025054526902,-63.45759878971084,-83.40024610947665,-93.18922234880723,-93.69001241065395,-88.14388763970246,-67.99121033377676,-29.66307484393321,-5.543908709641579,-0.5533824451194616,-0.20811777546505209,-0.20006367128100544,-0.20000016930182046,-0.2000000001520441,-0.20000000000004603,-0.2,-0.2,-0.2,-0.2,-0.2,objects
