tick,target_metadata,modulated_target_qualities
46,"[{""id"": ""static_0.s#0"", ""angle"": 0.5949295330595902, ""distance"": 1.1177339850121208, ""intensity"": 1}]",[1.0]
47,"[{""id"": ""static_0.s#0"", ""angle"": 0.7743864602721415, ""distance"": 1.1112889707679754, ""intensity"": 1}]",[1.0]
48,"[{""id"": ""static_0.s#0"", ""angle"": 0.9548285041051066, ""distance"": 1.1059332880564956, ""intensity"": 1}]",[1.0]
49,"[{""id"": ""static_0.s#0"", ""angle"": 1.1360878239990062, ""distance"": 1.1018274789218556, ""intensity"": 1}]",[1.0]
50,"[{""id"": ""static_0.s#0"", ""angle"": 1.3179342469261264, ""distance"": 1.0991226630414357, ""intensity"": 1}]",[1.0]
51,"[{""id"": ""static_0.s#0"", ""angle"": 1.5000826334749033, ""distance"": 1.0979158096814337, ""intensity"": 1}]",[1.0]
52,"[{""id"": ""static_0.s#0"", ""angle"": 1.682330426110394, ""distance"": 1.0982366793939822, ""intensity"": 1}]",[1.0]
53,"[{""id"": ""static_0.s#0"", ""angle"": 1.8644314661444017, ""distance"": 1.1000821107409995, ""intensity"": 1}]",[1.0]
54,"[{""id"": ""static_0.s#0"", ""angle"": 2.046085083078628, ""distance"": 1.1033946419600136, ""intensity"": 1}]",[1.0]
55,"[{""id"": ""static_0.s#0"", ""angle"": 2.227008308205349, ""distance"": 1.1080255629749791, ""intensity"": 1}]",[1.0]
56,"[{""id"": ""static_0.s#0"", ""angle"": 2.4070525557417586, ""distance"": 1.1138498567599888, ""intensity"": 1}]",[1.0]
57,"[{""id"": ""static_0.s#0"", ""angle"": 2.5860448334418003, ""distance"": 1.1206736693493542, ""intensity"": 1}]",[1.0]
58,"[{""id"": ""static_0.s#0"", ""angle"": 2.7638663304739124, ""distance"": 1.1282918577254, ""intensity"": 1}]",[1.0]
59,"[{""id"": ""static_0.s#0"", ""angle"": 2.9404114615545818, ""distance"": 1.1364049561640215, ""intensity"": 1}]",[1.0]
60,"[{""id"": ""static_0.s#0"", ""angle"": 3.115657022647494, ""distance"": 1.144772891801904, ""intensity"": 1}]",[1.0]
61,"[{""id"": ""static_0.s#0"", ""angle"": -2.993573615037444, ""distance"": 1.1531711194071133, ""intensity"": 1}]",[1.0]
62,"[{""id"": ""static_0.s#0"", ""angle"": -2.8208695263501853, ""distance"": 1.1613433756307974, ""intensity"": 1}]",[1.0]
63,"[{""id"": ""static_0.s#0"", ""angle"": -2.649341949558291, ""distance"": 1.1690582106479679, ""intensity"": 1}]",[1.0]
64,"[{""id"": ""static_0.s#0"", ""angle"": -2.478861927840922, ""distance"": 1.1760380932673875, ""intensity"": 1}]",[1.0]
65,"[{""id"": ""static_0.s#0"", ""angle"": -2.3093168329595106, ""distance"": 1.1821295212784726, ""intensity"": 1}]",[1.0]
