tick,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,norm_z,lambda1,omega
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,-0.1856651463262727,-0.24535124144623047,-0.23169488998602397,-0.23885661078172293,-0.22317586826193275,-0.2522170720143671,-0.24972187397144527,-0.2032974255403862,-0.02124923109116933,0.6913174194792991,1.433406379064564,1.7195804750662342,1.7470193876539204,1.7486140632137652,1.7133779471084638,1.6718323602929064,1.549208476441213,0.92198007314136,0.09936997070852895,-0.15206261331606077,-0.22011204651241736,-0.20464570303318722,-0.23165851176918983,-0.25931392446669604,-0.21290132574989307,-0.2281900486248484,-0.2441075140811322,-0.21870863133156376,-0.2398840916980624,-0.24138086940845463,4.644122295352764,-0.0033700882676674926,
2,-0.24373892743268305,-0.2645977070330764,-0.2584124488827705,-0.23985958045694297,-0.22562453335118154,-0.23122317586076266,-0.211040309380919,-0.23738673819337075,-0.12573882570730052,0.2783986764442706,1.1579353573278408,1.6349590519132584,1.6942149115856342,1.7545142094218364,1.731906826844487,1.7225313970386813,1.6041179625858608,1.3455741698346957,0.4833741426610295,-0.08775968404819254,-0.21617041218774224,-0.2717036891124433,-0.2423301080075139,-0.23279292654291076,-0.2147529305928853,-0.25452434337698865,-0.21162706836531875,-0.23127834908012973,-0.24927026025136828,-0.24559190410881548,4.6552901607152855,-0.003460238685773609,
3,-0.2449323940439235,-0.2506429244851043,-0.25762923802575366,-0.22763854554345428,-0.2397571106712454,-0.2484917958598377,-0.21992509643214497,-0.22732777394865422,-0.12969318513278788,0.3915789577085504,1.2601569889509385,1.6677531445170448,1.7026068284343783,1.7514413246663907,1.7095479688532533,1.6967395186075258,1.5804577045459967,1.2142084048913144,0.3091247874222419,-0.1155737118062006,-0.21957782664275802,-0.20082427505056452,-0.2495116946648876,-0.25244038434515786,-0.2592503969043739,-0.22253767693936685,-0.24359835152031362,-0.26328108080609797,-0.21975423133992983,-0.2126169552223307,4.6262521432557335,0.0008778793344358382,
4,-0.21227883533436048,-0.21232451254718762,-0.2239482215791598,-0.23964756132230838,-0.22779412561292361,-0.23257983918258157,-0.2187495468595148,-0.21329578461445453,-0.12294140774734251,0.4341273674798834,1.2582732727192079,1.6379622805201748,1.7024848122566434,1.7058320769308635,1.746876081625006,1.7450610120916006,1.6432625019392442,1.171724282795618,0.2783397498962501,-0.11370611683404704,-0.21567695855084074,-0.23677057217476952,-0.2487592590490424,-0.2254590327290634,-0.24401398824125822,-0.2199710555855779,-0.25224823354800563,-0.2551095365106263,-0.2300895914823211,-0.23972577202005324,4.636586429964856,-0.0048833338921068226,
5,-0.2692286010602669,-0.22556358938720306,-0.2475506651644513,-0.2509238706846693,-0.2169813670808509,-0.2539274419506733,-0.2500070813389209,-0.2527205479803157,-0.2371119951783431,-0.08922617381714115,0.44524002858197076,1.2759448401004543,1.6224596252267416,1.7019999385223545,1.7287238765879454,1.7009352046614175,1.7006115368570958,1.613029695077616,1.163575078635037,0.27617062833343736,-0.1084900678698808,-0.2133638440871324,-0.25185957361054523,-0.26106440372085893,-0.24827315803945965,-0.18666150620826627,-0.1994208374683769,-0.218271566335491,-0.22670027274809434,-0.2508508354056877,4.6041348354610845,0.0034119609781724236,
6,-0.2315708219705543,-0.2313631920370518,-0.24264716067437372,-0.26406050678772297,-0.26038429590915085,-0.211340911465196,-0.2521042091397861,-0.2018041871285458,-0.23474210884493837,-0.03580815497109659,0.6407822843294873,1.4082364002953796,1.6507343184127998,1.7543115505501734,1.707372922346863,1.703545004045374,1.7274365806601932,1.564581012137726,0.9881376104689653,0.11259435498974797,-0.17303133209773852,-0.20060316929989544,-0.2875847886098109,-0.23854424334613267,-0.24959701713511878,-0.24865214332086738,-0.225448469746377,-0.21215715570502208,-0.21308057310844908,-0.23584913172874117,4.634023195502485,-0.0037542327676685083,
7,-0.25454892805967066,-0.2270024727928553,-0.25294483522676603,-0.22845123229782854,-0.20678452327605218,-0.22947301443372786,-0.2711301317425078,-0.23839964055147753,-0.21835729620482527,-0.06655541529351233,0.5900297172827053,1.4399749203769237,1.7260613689773001,1.7077056535587962,1.7305098191364996,1.7539821125270174,1.7187445716001115,1.5953060303731887,1.0842500526825696,0.17123835218834366,-0.17945152211319398,-0.261800975457685,-0.21947159207171657,-0.21948117547579646,-0.23018203630410472,-0.23088066168946944,-0.23951052625314348,-0.27341768091030655,-0.22043165610635834,-0.2634185105904967,4.707034653061188,-0.01516373909966362,
8,-0.2678539612254293,-0.296931255564421,-0.2603439710042977,-0.2556788120210891,-0.22508932472565008,-0.2584898322885005,-0.1875891608623878,-0.23582684947467697,-0.0640179875958085,0.6165519820679581,1.3972586939293352,1.6955297861629688,1.7046787158201027,1.7203302158176648,1.7440328058875332,1.6699982691883233,1.574862954999129,1.0119584067049836,0.16954343751123405,-0.14056906202647332,-0.24160987306791873,-0.21562290616864252,-0.22885802200892846,-0.23082607539349062,-0.21349233943433035,-0.21040770903541156,-0.22946501460531385,-0.23301901298322958,-0.24682139048873236,-0.22148108572771472,4.63452358512693,0.006460599988055926,
9,-0.23489835372385875,-0.262761922510832,-0.23965738902917527,-0.2569447458457155,-0.21852202100265872,-0.101404181662815,0.5166013663127457,1.356702362872021,1.6201450216243993,1.707581992709104,1.7376245089489788,1.7101052242547066,1.7311384424773086,1.564134715724232,1.0184086855674792,0.17845537945201057,-0.16565247287759272,-0.22412771944823315,-0.22576278913073697,-0.2336330706913767,-0.23709880319143797,-0.21998054332568986,-0.2451140897051699,-0.25898501187109696,-0.22894536199614782,-0.2445485653654316,-0.22914785119318767,-0.1909675913446318,-0.23083410979365568,-0.2608323799082551,4.5986519171808915,1.0634012211241384e-05,
