tick,sensory_map_0,sensory_map_1,sensory_map_2,sensory_map_3,sensory_map_4,sensory_map_5,sensory_map_6,sensory_map_7,sensory_map_8,sensory_map_9,sensory_map_10,sensory_map_11,sensory_map_12,sensory_map_13,sensory_map_14,sensory_map_15,sensory_map_16,sensory_map_17,sensory_map_18,sensory_map_19,sensory_map_20,sensory_map_21,sensory_map_22,sensory_map_23,sensory_map_24,sensory_map_25,sensory_map_26,sensory_map_27,sensory_map_28,sensory_map_29,channel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,objects
1,-1.2336136375756564e-15,-6.198055706092804e-14,-3.854570328789617e-12,-2.4700533954045643e-10,-1.3672005836229537e-08,-5.569404172029277e-07,-1.4489007649198208e-05,-0.00021154426825861997,-0.0015050748542400421,-0.003755262127279272,0.007040549609302415,0.051644460553798135,0.08462566839899473,0.04890022232919311,0.006264910627689838,-0.002791579959085966,-0.0009642091531690992,-0.00011584206544416576,-6.91890706544032e-06,-2.3877609783083297e-07,-5.430674497539993e-09,-9.39548982149101e-11,-1.454544823443964e-12,-2.407995976805504e-14,-5.107265632160177e-16,-1.5950537153517608e-17,-6.368442473381348e-19,-1.6484110929805173e-20,-1.5245332032970264e-18,-3.575504291828337e-17,objects
2,-8.892148137340108e-17,-3.3247936199756466e-15,-1.7721792089362983e-13,-1.126458764060622e-11,-7.099432853067414e-10,-3.726913009698305e-08,-1.3924864964736936e-06,-3.2238422386805035e-05,-0.0004091700970908297,-0.002526303628941908,-0.00599974836287432,0.004893101253937449,0.04908556777494813,0.07641533360220748,0.03840581170783471,0.00208521116473953,-0.002979430772599794,-0.0007884274917215563,-8.247447414629782e-05,-4.445411689765442e-06,-1.4194340562539325e-07,-3.0584261155742233e-09,-5.141283192332496e-11,-7.952069775341591e-13,-1.3551325598446707e-14,-3.0475145359011363e-16,-1.0321627476884216e-17,-4.693892031046139e-19,-2.1158125153793638e-19,-3.789863740195192e-18,objects
3,-8.772477036709407e-18,-2.2067845970283403e-16,-8.972426947628732e-15,-5.039623914580104e-13,-3.2475292513726216e-11,-1.997239910885256e-09,-9.872207145953384e-08,-3.3613031143877225e-06,-6.890791876503008e-05,-0.0007595167869721183,-0.004109390195418635,-0.009519540945250756,0.00045422658702806153,0.04466240572997093,0.0672836016518709,0.028158085968351634,-0.0014373035409843966,-0.0030559918048590207,-0.00065359392730254,-6.048837287233447e-05,-2.97514072686502e-06,-8.863881251203695e-08,-1.8214509553774381e-09,-2.991245616699653e-11,-4.642384320499895e-13,-8.169681003335734e-15,-1.952799431238674e-16,-7.223860292585992e-18,-4.2850163351009485e-19,-5.879248371360894e-19,objects
4,-1.2904169831388557e-18,-1.9643967535399317e-17,-5.436340152920739e-16,-2.3952531806272586e-14,-1.4062317410534814e-12,-9.111757977440863e-11,-5.428395297212901e-09,-2.5107653789869897e-07,-7.75157760490105e-06,-0.00014027603143041821,-0.0013434558156718533,-0.006418503920297149,-0.014502366965289554,-0.00595669019944946,0.03872470192104794,0.05673973731803706,0.018219026393186465,-0.004280608075511394,-0.003049449673289876,-0.000550427255761344,-4.579668218546745e-05,-2.0765886262409302e-06,-5.8153978512346684e-08,-1.146271888264777e-09,-1.847640884009094e-11,-2.887799919969804e-13,-5.260940800989776e-15,-1.3389373375611913e-16,-5.456975273044196e-18,-4.80515749177838e-19,objects
5,-6.192004339345776e-19,-2.5798402954084557e-18,-4.2964644746145776e-17,-1.3163596152278274e-15,-6.239999130902828e-14,-3.79602480148384e-12,-2.453995278981354e-10,-1.4071956981861969e-08,-6.060934947214089e-07,-1.691443041308277e-05,-0.0002698753510835362,-0.00224808791984459,-0.009510278103573725,-0.02066006969857836,-0.013553148294100521,0.03096759309593224,0.04429778107213478,0.008792366304733002,-0.006494826783430371,-0.0029935314788732594,-0.0004718504976371904,-3.581092886792489e-05,-1.5104150404715321e-06,-4.001159270039774e-08,-7.602712123688537e-10,-1.2076546316730518e-11,-1.9065863343907814e-13,-3.60197683227965e-15,-9.769769727688781e-17,-4.426905997525115e-18,objects
6,-3.829252448279843e-18,-8.561109045505077e-19,-4.903792973101713e-18,-9.163938083433887e-17,-3.097552691635156e-15,-1.5655311347519647e-13,-9.783453565125567e-12,-6.265673055157678e-10,-3.4403901952378627e-08,-1.3755525665530101e-06,-3.466342068399845e-05,-0.0004879364783737066,-0.0035370745405253427,-0.013196910084723009,-0.02702536195463402,-0.021418003710329935,0.020424375951098243,0.029621474320972004,4.198666313079723e-05,-0.008183565442411998,-0.0029161778246825677,-0.0004122698271992617,-2.8903547422103142e-05,-1.1428053350075166e-06,-2.879490093338627e-08,-5.297348976504988e-10,-8.321051997666045e-12,-1.3301358878602779e-13,-2.608544185633492e-15,-7.540142221325575e-17,objects
7,-6.107143957158528e-17,-3.496055582480699e-18,-1.2148535805762648e-18,-8.982351713204716e-18,-1.8925034412256023e-16,-6.997685103587259e-15,-3.734410302842243e-13,-2.3779756031848026e-11,-1.499622224941759e-09,-7.855059232991456e-08,-2.9118009769505564e-06,-6.633909994982945e-05,-0.0008260336045333109,-0.00520959348779169,-0.01693341074071334,-0.03192113198920246,-0.02867258946240869,0.005876665824019566,0.012522413046102677,-0.007995790290822246,-0.009461002726180757,-0.002832631392394999,-0.0003667093083706397,-2.400623937025207e-05,-8.95884865023347e-07,-2.1576563340123782e-08,-3.8579356847835256e-10,-6.0103689438095024e-12,-9.745585506027235e-14,-1.984422981631961e-15,objects
8,-1.5717016061028102e-15,-5.141505333221958e-17,-3.3277387825857855e-18,-1.7275330147424815e-18,-1.5875239179008897e-17,-3.747926895499613e-16,-1.499770096107284e-14,-8.371286014127829e-13,-5.392123969385538e-11,-3.3319375146426677e-09,-1.6611373021854962e-07,-5.712974519899393e-06,-0.00011810827304603865,-0.001307646793985939,-0.007173880120328537,-0.019852356924851017,-0.03318314282970239,-0.03433559231216668,-0.01363303989746507,-0.007210812439730716,-0.015459090823274822,-0.010428228775583241,-0.0027462086728453944,-0.00033070536826157703,-2.0399017440829917e-05,-7.229443861946246e-07,-1.6718101280190783e-08,-2.9154258875010524e-10,-4.516112294416927e-12,-7.4370893370801e-14,objects
9,-5.838328275358172e-14,-1.2796187467939649e-15,-4.443090025528269e-17,-3.2561289890524927e-18,-2.428514132399915e-18,-2.6944545676172095e-17,-7.045434352188553e-16,-3.017360693840307e-14,-1.7462754859178872e-12,-1.1306429885859106e-10,-6.819776736493723e-09,-3.232985861357232e-07,-1.0340593363166714e-05,-0.00019515076185219648,-0.0019369498406483286,-0.009261933222136873,-0.02103144738762998,-0.028694178149499056,-0.036942459659789414,-0.038097239467244595,-0.02982629356859429,-0.022642904485676813,-0.011159720570635082,-0.0026488041920442007,-0.0002998692554877318,-1.7553242691296865e-05,-5.939507262294462e-07,-1.3243404026337551e-08,-2.2596673114308364e-10,-3.4878575125833496e-12,objects
